Contestant Name,Country,contestant_id,series,placement,latitude,longitude,pixel_x,pixel_y
Lou Sanders,England,38,8,1,51.08222,-4.04889,728.30838,1789.89958
Daisy May Cooper,England,46,10,2,51.2667,-1.0876,1052.37849,1746.7166499999998
Fern Brady,Scotland,67,14,4,55.902511,-3.641848,768.93591,936.55679
Alice Levine,England,26,6,5,52.92348,-1.21776,1036.64974,1454.61662
Richard Osman,England,10,2,3,51.628,0.418,1217.23817,1677.91937
Jessica Knappett,England,32,7,2,53.846,-1.836,968.54762,1294.1429799999999
Steve Pemberton,England,85,17,3,53.75,-2.48,898.27903,1313.27111
Sophie Willan,England,84,17,4,53.57804,-2.43164,903.52493,1342.85861
Dara Ó Briain,Ireland,66,14,1,53.201389,-6.109722,501.11324,1422.29212
Rosie Jones,England,90,18,5,54.083061,-0.191919,1147.78523,1245.71171
John Robins,England,82,17,1,51.454514,-2.58791,888.0552700000001,1718.29151
Mark Watson,England,23,5,2,51.454514,-2.58791,888.0552700000001,1718.29151
Russell Howard,England,29,6,3,51.454514,-2.58791,888.0552700000001,1718.29151
Jack Dee,England,89,18,2,51.509865,-0.118092,1158.2049,1700.65274
Joe Wilkinson,England,7,2,5,51.509865,-0.118092,1158.2049,1700.65274
Tim Key,England,5,1,4,52.2053,0.1192,1184.10318,1576.82334
Roisin Conaty,England,3,1,5,51.509865,-0.118092,1158.2049,1700.65274
Rhod Gilbert,Wales,35,7,3,51.856,-4.316,699.07924,1653.9614800000002
Ardal O'Hanlon,Ireland,61,13,4,53.976,-6.719,434.1589000000001,1287.5705799999998
Tim Vine,England,30,6,2,51.509865,-0.118092,1158.2049,1700.65274
Joe Thomas,England,37,8,3,51.736099,0.4798,1223.25717,1657.88749
Charlotte Ritchie,England,51,11,5,51.509865,-0.118092,1158.2049,1700.65274
Jo Brand,England,43,9,4,51.509865,-0.118092,1158.2049,1700.65274
Joanne McNally,Ireland,81,17,2,53.6333,-8.1833,274.38243000000006,1353.22827
Guz Khan,England,58,12,2,52.408054,-1.510556,1005.4956999999999,1546.87506
Romesh Ranganathan,England,4,1,3,51.1092,-0.1872,1151.4177300000001,1771.29573
Sue Perkins,England,79,16,4,51.509865,-0.118092,1158.2049,1700.65274
Sara Pascoe,England,15,3,4,51.509865,-0.118092,1158.2049,1700.65274
Munya Chawawa,England,69,14,3,52.9247,-1.478,1008.10094,1455.5372599999998
Paul Chowdhry,England,13,3,5,51.509865,-0.118092,1158.2049,1700.65274
Iain Stirling,Scotland,36,8,2,55.95,-3.19,818.85687,927.01183
Mel Giedroyc,England,19,4,3,51.3325,-0.268611,1142.04413,1731.9224499999998
Bridget Christie,England,62,13,3,51.85,-2.21,929.5137700000001,1647.52233
Judi Love,England,64,13,5,51.509865,-0.118092,1158.2049,1700.65274
Joe Lycett,England,17,4,2,52.48,-1.9025,962.60841,1535.36353
Ed Gamble,England,42,9,1,51.509865,-0.118092,1158.2049,1700.65274
Josh Widdicombe,England,2,1,2,51.509865,-0.118092,1158.2049,1700.65274
Victoria Coren Mitchell,England,60,12,5,51.509865,-0.118092,1158.2049,1700.65274
Andy Zaltzman,England,86,18,1,51.509865,-0.118092,1158.2049,1700.65274
Katherine Parkinson,England,48,10,5,51.509865,-0.118092,1158.2049,1700.65274
Asim Chaudhry,England,27,6,4,51.509865,-0.118092,1158.2049,1700.65274
Jamali Maddix,England,52,11,4,51.509865,-0.118092,1158.2049,1700.65274
Hugh Dennis,England,16,4,4,52.398611,-0.725711,1091.14703,1545.10487
James Acaster,England,31,7,4,52.398611,-0.725711,1091.14703,1545.10487
Doc Brown,England,6,2,4,51.509865,-0.118092,1158.2049,1700.65274
Aisling Bea,Ireland,21,5,4,53.15772,-6.91128,413.46708,1433.0536399999999
Jon Richardson,England,8,2,2,54.047001,-2.801,862.3317400000001,1261.86022
Nick Mohammed,England,83,17,5,53.801277,-1.548567,1000.18973,1300.06581
Liza Tarbuck,England,28,6,1,53.400002,-2.983333,843.5262900000001,1376.53389
Babatunde Aléshé,England,87,18,4,51.509865,-0.118092,1158.2049,1700.65274
Sophie Duker,England,65,13,1,51.509865,-0.118092,1158.2049,1700.65274
Alan Davies,England,56,12,3,51.6494,0.0735,1179.4932500000002,1675.16901
Paul Sinha,England,39,8,5,51.8783,-0.4147,1125.25232,1636.25072
Bob Mortimer,England,22,5,1,54.566667,-1.233333,1034.18565,1164.0726100000002
Sian Gibson,Wales,40,8,4,53.166,-3.133,827.41975,1418.71263
Rob Beckett,England,14,3,1,51.509865,-0.118092,1158.2049,1700.65274
Kiell Smith-Bynoe,England,74,15,2,51.509865,-0.118092,1158.2049,1700.65274
Mike Wozniak,England,54,11,2,51.752022,-1.257677,1033.59678,1661.02798
Kerry Godliman,England,33,7,1,51.509865,-0.118092,1158.2049,1700.65274
Richard Herring,England,50,10,1,53.9309,-0.7781,1083.68354,1274.55986
Frankie Boyle,Scotland,71,15,4,55.860916,-4.251433,702.70135,946.62783
Katy Wix,Wales,44,9,3,51.602,-3.342,805.3394900000001,1695.1698099999999
Chris Ramsey,England,63,13,2,54.995,-1.43,1011.37977,1089.42449
Sarah Millican,England,70,14,2,54.995,-1.43,1011.37977,1089.42449
Lee Mack,England,53,11,3,53.6475,-3.005278,840.25057,1332.99641
Susan Wokoma,England,80,16,3,51.509865,-0.118092,1158.2049,1700.65274
Johnny Vegas,England,47,10,4,53.4553,-2.7371,869.9865900000001,1365.76171
Dave Gorman,England,12,3,2,52.80359,-2.12307,937.85207,1478.63231
Al Murray,England,11,3,3,51.9262,-0.761,1087.48275,1628.54171
Phil Wang,England,34,7,5,53.002666,-2.179404,931.56192,1444.11904
Julian Clary,England,76,16,2,51.509865,-0.118092,1158.2049,1700.65274
Lolly Adefope,England,18,4,5,51.509865,-0.118092,1158.2049,1700.65274
Nish Kumar,England,24,5,5,51.509865,-0.118092,1158.2049,1700.65274
John Kearns,England,68,14,5,51.509865,-0.118092,1158.2049,1700.65274
Lucy Beaumont,England,77,16,5,50.259998,-5.051,619.93096,1938.2103200000001
Frank Skinner,England,1,1,1,52.513,-1.9938,952.3828300000001,1529.74195
Noel Fielding,England,20,4,1,51.509865,-0.118092,1158.2049,1700.65274
