ContestantName,ContestantID,Series,early_avg_score,early_score_ratio,score_consistency,late_avg_score,score_variance,avg_rank,rank_variance,rank_changes,last_rank,comeback_factor,score_acceleration,avg_task_score,late_score_ratio,score_growth_rate,first_rank
Frank Skinner,1,1,12.333333333333334,0.7956989247311828,0.5415982907295925,82.85714285714286,623.6617647058823,2.823529411764706,1.0276816608996544,2,2,3,0.03125,2.735294117647059,6.236559139784946,2.5333842627960275,2
Josh Widdicombe,2,1,8.0,0.5161290322580645,0.6412966688709008,88.28571428571429,875.8961937716261,2.5294117647058822,2.013840830449828,2,1,3,-0.03125,2.735294117647059,6.645161290322581,3.0050420168067227,5
Roisin Conaty,3,1,4.833333333333333,0.4264705882352941,0.8224783208299743,63.285714285714285,410.32525951557085,4.970588235294118,0.02854671280276813,0,5,0,0.0,2.0,6.514705882352941,2.0443086325439266,4
Romesh Ranganathan,4,1,13.0,0.8387096774193549,0.5767491755657586,85.0,679.1185121107266,1.9705882352941178,0.4403114186851209,1,3,0,-0.03125,2.735294117647059,6.397849462365591,2.6446142093200917,3
Tim Key,5,1,11.833333333333334,0.8068181818181818,0.656735603490904,77.71428571428571,535.1141868512111,2.7058823529411766,1.2076124567474045,2,4,0,0.03125,2.588235294117647,6.181818181818182,2.337662337662338,1
Doc Brown,6,2,6.8,0.4358974358974359,0.8600261451922269,70.66666666666667,534.0752551020407,3.9642857142857144,0.17729591836734668,1,4,1,0.11538461538461539,2.7857142857142856,5.435897435897436,2.8437328954570336,2
Joe Wilkinson,7,2,7.0,0.5072463768115942,1.008574871996006,64.16666666666667,483.6224489795918,4.714285714285714,1.0612244897959175,0,5,0,-0.07692307692307693,2.4642857142857144,5.579710144927536,2.6907498631636564,1
Jon Richardson,8,2,10.2,0.5666666666666667,0.5149613433891763,83.0,706.5714285714286,1.7857142857142858,0.5255102040816328,6,2,2,-0.07692307692307693,3.2142857142857144,5.533333333333333,3.273672687465791,4
Katherine Ryan,9,2,9.8,0.5212765957446809,0.8048629923139462,88.16666666666667,857.952806122449,1.9642857142857142,0.8915816326530605,3,1,3,0.0,3.357142857142857,5.627659574468085,3.604542966611932,3
Richard Osman,10,2,11.0,0.6395348837209303,0.639006123908562,76.83333333333333,578.9323979591837,2.5714285714285716,0.7448979591836741,4,3,2,0.0,3.0714285714285716,5.3604651162790695,2.9559386973180075,5
