series,mu,sigma,pct_1s,pct_10s,total_votes,episode_count,overall_mean,imdb_rating
1,7.8698317057968,1.1017193336166708,0.7619970916141542,21.4167716917111,2063,6,826.9979641299078,8.116666666666667
2,7.804984315092367,1.2231627552907063,1.415257595772787,22.906406869220604,1514,5,821.597424042272,8.1
3,7.855351796407185,1.031609961548566,1.0745895788722342,22.673090649536046,1401,5,827.2152748037117,8.1
4,7.857076887554837,1.0852804180448152,1.036742934051144,26.164558097801706,2229,8,835.0417676087932,8.1625
5,7.802943581357318,1.0954859445503489,1.1243457943925235,28.16981308411215,2140,8,835.4107476635514,8.1125
6,7.426155391828533,1.2363860919617131,2.073274725274725,19.122945054945053,2275,10,777.9487912087914,7.640000000000001
7,7.875179219026736,1.1007011360897438,1.3929433611884863,29.895032497678734,2154,8,841.7018570102136,8.3
8,7.54247978036655,1.1224942521572232,1.0940840685002595,21.121172807472757,1927,9,798.829216398547,7.720000000000001
9,7.68375621239864,1.0682517125509436,1.52044911610129,25.421022455805065,2093,10,817.094027711419,7.93
10,7.266260751908765,1.3732119251761397,2.6952603861907547,21.544002340550026,1709,8,767.8646576945581,7.5200000000000005
11,7.716092673763306,1.1201676059524974,0.2708849151765245,27.051352590554792,2181,10,830.9967904630903,7.95
12,7.724038600028806,1.0470191811656648,0.15413090128755366,25.376448497854074,1864,10,829.3618025751073,7.93
13,7.721351835273053,1.1353575594851604,1.0533959138597462,24.911430149088897,1811,10,822.1767531750413,7.970000000000001
14,7.730921156580818,1.0086338242619437,0.08076923076923076,24.32416387959866,1196,7,827.7295150501673,7.94
15,7.430637636080871,1.3142693590006949,2.595501519756839,19.22255319148936,1645,10,775.5890577507599,7.74
16,7.510232343437452,1.1682619822902391,0.3141065830721003,18.37128526645768,1595,10,795.2081504702194,7.68
17,7.307954650198175,1.1545724187563187,1.4757387247278384,14.146578538102643,1286,10,759.3668740279937,7.51
18,7.305712372021816,1.3450757166466918,10.767650918635171,21.655905511811028,1524,10,716.373031496063,7.540000000000001
