statistic,value
total_series,18
rising_pattern_count,8
j_shaped_pattern_count,8
key_patterns_count,16
key_patterns_percentage,0.8888888888888888
binomial_test_p_value,1.675182439821864e-06
binomial_test_significant,True
first_to_last_mean_diff,0.28333333333333327
first_to_last_p_value,0.0002594822111044752
first_to_last_significant,True
first_to_middle_mean_diff,0.007638888888888751
first_to_middle_p_value,0.8902679525403048
first_to_middle_significant,False
middle_to_last_mean_diff,0.2756944444444445
middle_to_last_p_value,0.0003002641069684496
middle_to_last_significant,True
chi_square_statistic,10.88888888888889
chi_square_p_value,0.012342120962254396
chi_square_significant,True
