series,pattern,first_rating,middle_rating,last_rating,rating_diff_first_to_last,rating_diff_first_to_middle,rating_diff_middle_to_last
1,312,8.0,8.2,7.9,-0.09999999999999964,0.1999999999999993,-0.29999999999999893
2,231,8.3,8.0,8.2,-0.10000000000000142,-0.3000000000000007,0.1999999999999993
3,123,8.1,8.1,8.1,0.0,0.0,0.0
4,213,8.2,8.116666666666665,8.4,0.20000000000000107,-0.08333333333333393,0.283333333333335
5,123,7.9,8.033333333333333,8.8,0.9000000000000004,0.13333333333333286,0.7666666666666675
6,123,7.5,7.6125,8.0,0.5,0.11249999999999982,0.3875000000000002
7,213,8.3,8.25,8.7,0.3999999999999986,-0.05000000000000071,0.4499999999999993
8,213,7.7,7.6875,8.0,0.2999999999999998,-0.012500000000000178,0.3125
9,123,7.8,7.9125,8.2,0.39999999999999947,0.11249999999999982,0.28749999999999964
10,213,7.6,7.5,7.6,0.0,-0.09999999999999964,0.09999999999999964
11,123,7.8,7.924999999999999,8.3,0.5000000000000009,0.12499999999999911,0.3750000000000018
12,213,8.1,7.8375,8.5,0.40000000000000036,-0.2624999999999993,0.6624999999999996
13,213,8.1,7.9,8.4,0.3000000000000007,-0.1999999999999993,0.5
14,123,7.7,7.95,8.1,0.39999999999999947,0.25,0.14999999999999947
15,123,7.7,7.737500000000001,7.8,0.09999999999999964,0.03750000000000053,0.06249999999999911
16,213,8.0,7.5875,8.1,0.09999999999999964,-0.41249999999999964,0.5124999999999993
17,213,7.5,7.4875,7.7,0.20000000000000018,-0.012500000000000178,0.21250000000000036
18,123,7.0,7.6,7.6,0.5999999999999996,0.5999999999999996,0.0
