season,episode,episode_id,title,imdb_id,hist1_pct,hist2_pct,hist3_pct,hist4_pct,hist5_pct,hist6_pct,hist7_pct,hist8_pct,hist9_pct,hist10_pct,avg_anger,avg_awkwardness,avg_frustration_or_despair,avg_humor,avg_joy_or_excitement,avg_sarcasm,avg_self_deprecation,contestant_avg_age,contestant_prop_female,contestant_prop_comedians,contestant_nationality_diversity,contestant_avg_experience
1,1,1_1,Melon buffet,tt4950176,1.0,0.2,0.5,0.5,2.2,4.1,17.7,33.4,20.3,20.1,0.2458333333333333,2.3833333333333333,0.0125,3.1375,0.0583333333333333,1.925,1.7125,40.2,0.2,0.6,2,24.333333333333332
1,2,1_2,The pie whisperer,tt4950200,0.8,0.3,0.6,0.6,1.1,4.7,11.1,29.0,29.2,22.6,0.3469387755102041,2.346938775510204,0.0163265306122449,3.240816326530612,0.0326530612244898,2.306122448979592,1.8081632653061224,40.2,0.2,0.6,2,24.333333333333332
1,3,1_3,The poet and the egg,tt4950210,0.6,0.0,0.6,0.3,0.9,4.8,14.3,29.5,25.9,23.2,0.3836734693877551,2.3836734693877553,0.0204081632653061,3.220408163265306,0.0448979591836734,2.240816326530612,1.8612244897959185,40.2,0.2,0.6,2,24.333333333333332
1,4,1_4,Down an octave,tt4956136,0.9,0.3,0.3,0.6,0.3,3.7,14.5,31.5,25.3,22.5,0.216,2.544,0.012,3.136,0.028,2.076,1.78,40.2,0.2,0.6,2,24.333333333333332
1,5,1_5,Little denim shorts,tt4970856,0.6,0.3,0.3,0.6,1.0,4.4,16.5,34.0,21.9,20.3,0.2326530612244897,2.5061224489795917,0.0204081632653061,3.036734693877551,0.0122448979591836,1.926530612244898,1.6816326530612244,40.2,0.2,0.6,2,24.333333333333332
1,6,1_6,The Last Supper,tt5040506,0.6,0.6,0.0,0.6,1.3,5.4,19.6,32.6,19.3,19.9,0.2260536398467433,2.1839080459770117,0.0191570881226053,3.1839080459770117,0.0459770114942528,2.1149425287356323,1.6666666666666667,40.2,0.2,0.6,2,24.333333333333332
2,1,2_1,Fear of failure,tt5070228,1.2,0.6,0.6,0.6,0.3,3.6,12.2,26.2,27.7,27.1,0.2073170731707317,2.386178861788618,0.0040650406504065,3.1463414634146343,0.0203252032520325,1.967479674796748,1.6382113821138211,38.0,0.2,0.8,3,26.0
2,2,2_2,Pork is a sausage,tt5785480,1.4,1.0,1.4,0.7,0.7,4.4,17.0,30.3,21.4,21.8,0.1505791505791505,2.301158301158301,0.0077220077220077,3.3745173745173744,0.0308880308880308,2.088803088803089,1.6795366795366795,38.0,0.2,0.8,3,26.0
2,3,2_3,A pistachio éclair,tt5785478,1.4,0.3,0.7,0.7,2.0,4.4,18.4,30.6,20.1,21.4,0.1028368794326241,2.4148936170212765,0.0106382978723404,2.964539007092198,0.0638297872340425,1.8439716312056735,1.5638297872340423,38.0,0.2,0.8,3,26.0
2,4,2_4,Welcome to Rico Face,tt5785484,1.4,0.7,0.7,0.7,1.0,4.8,17.3,34.6,20.4,18.3,0.2862903225806452,2.4475806451612905,0.0040322580645161,3.318548387096774,0.0483870967741935,2.120967741935484,1.7661290322580645,38.0,0.2,0.8,3,26.0
