series,hist1_pct,hist2_pct,hist3_pct,hist4_pct,hist5_pct,hist6_pct,hist7_pct,hist8_pct,hist9_pct,hist10_pct,num_episodes,avg_anger_mean,avg_anger_std,avg_awkwardness_mean,avg_awkwardness_std,avg_frustration_or_despair_mean,avg_frustration_or_despair_std,avg_humor_mean,avg_humor_std,avg_joy_or_excitement_mean,avg_joy_or_excitement_std,avg_sarcasm_mean,avg_sarcasm_std,avg_self_deprecation_mean,avg_self_deprecation_std,num_contestants,contestant_avg_age,contestant_std_age,contestant_age_range,contestant_prop_female,contestant_prop_male,contestant_gender_diversity,contestant_nationality_diversity,contestant_prop_british,contestant_prop_comedians,contestant_prop_actors,contestant_prop_presenters,contestant_prop_writers,contestant_occupation_diversity,contestant_avg_experience,contestant_std_experience,contestant_experience_range,series_order,is_early_series,is_middle_series,is_recent_series,series_squared
1,0.75,0.2833333333333333,0.3833333333333333,0.5333333333333333,1.1333333333333335,4.516666666666667,15.616666666666667,31.666666666666668,23.650000000000002,21.433333333333334,6,0.2751920465504209,0.07142211551020777,2.391329345531316,0.12775167490203357,0.016799990877577067,0.0038300841237909546,3.1592278716084135,0.07351874330450937,0.03701771053248882,0.016191261084532775,2.098235319415122,0.15736131980805548,1.7516978458049888,0.07702122441387044,5,40.2,10.207840124139876,26,0.2,0.8,2,2,1.0,0.6,0.0,0.0,0.0,5,24.333333333333332,9.104333522498443,21.0,1,1,0,0,1
2,1.42,0.6599999999999999,0.82,0.6,0.9400000000000001,3.9799999999999995,16.16,30.18,22.5,22.759999999999998,5,0.20138706400725584,0.07576685790852038,2.358420434805633,0.0846675108697086,0.00705363539929906,0.0029344409524364816,3.1951504799043726,0.1608636493992138,0.04590188266049686,0.020089153174900537,2.020984515453926,0.1148103010299924,1.6520083365809444,0.07635631069242288,5,38.0,5.196152422706632,12,0.2,0.8,2,3,0.8,0.8,0.2,0.4,0.2,5,26.0,5.0,10.0,2,1,0,0,4
3,1.08,0.22000000000000003,0.52,0.32,0.36,4.5,15.940000000000001,34.4,20.080000000000002,22.64,5,0.18478393932941944,0.07778725937594537,2.4218085675412424,0.09355181434441033,0.01320677412716444,0.009937161420245746,3.132877512985576,0.06793419205614848,0.055561372115110405,0.028428601771629678,2.070717039681174,0.08824152941263688,1.5735189124096371,0.054530990165493405,5,40.0,7.3824115301167,18,0.2,0.8,2,2,1.0,1.0,0.2,0.0,0.2,5,30.0,3.0,6.0,3,1,0,0,9
4,1.0375,0.23750000000000002,0.4,0.6625,0.5,3.65,17.4,28.212500000000002,21.825,26.1125,8,0.15392824247756023,0.039485726132437,2.4443434368006294,0.1111931704038309,0.11333704070639879,0.2577890760599535,3.1497110077055885,0.10679042615160927,0.2008149039330271,0.4175688724086507,1.9785577516760384,0.10912693887378906,1.5641656268544664,0.06089243241859053,5,40.4,12.340988615179905,28,0.4,0.6,2,2,1.0,1.0,0.4,0.6,0.0,5,20.333333333333332,10.873004286866728,26.0,4,1,0,0,16
5,1.1,0.23750000000000002,0.25,0.725,1.1875,4.175,15.8375,29.8625,19.1875,27.4875,8,0.2017074485631647,0.05961720909881748,2.3983056799876863,0.07269542904867267,0.18122784086955315,0.3551261410784069,3.184671887522633,0.07187208342422104,0.28445278720154066,0.4909577126564351,1.9798810174689798,0.14110150389426643,1.6403332475769932,0.08057234352970889,5,41.4,11.013627921806693,26,0.4,0.6,2,2,1.0,0.4,0.2,0.0,0.0,5,24.333333333333332,9.877021593352703,23.0,5,1,0,0,25
6,2.05,0.8,0.5599999999999999,1.64,1.7399999999999998,6.68,23.740000000000002,32.35,11.26,19.16,10,0.18224288691721605,0.06289985230203989,2.367377982372658,0.07847412762390635,0.2459509417162402,0.34505384676372164,3.199170527984769,0.13260487895524667,0.4515477689503729,0.5569455797638935,1.9980619309020962,0.1372403394181648,1.587189520533163,0.055333322186117063,5,41.2,10.183319694480772,21,0.4,0.6,2,2,1.0,0.6,0.4,0.2,0.0,5,28.0,9.092121131323903,22.0,6,0,1,0,36
7,1.3875,0.23750000000000002,0.42500000000000004,0.475,1.4874999999999998,2.9125,12.95,30.325,20.025,29.7875,8,0.24766107008060695,0.054746834732669475,2.3594055800524836,0.10278867663757008,0.17329032114888876,0.3316276222423167,3.212414928341726,0.13802091642589895,0.3348151443939406,0.5623156535495181,1.9665756303802493,0.08888885122911841,1.57691040417822,0.10143058775372854,5,37.6,9.071934744033381,22,0.4,0.6,2,3,1.0,0.2,0.2,0.0,0.0,5,22.75,0.0,0.0,7,0,1,0,49
8,1.088888888888889,0.30000000000000004,0.6666666666666666,0.8777777777777778,1.9444444444444444,5.1,22.91111111111111,33.922222222222224,12.0,21.188888888888886,9,0.18689290997218738,0.05502268309755287,2.456238751091075,0.09336006481631313,0.17235510882915372,0.32787193163283407,3.1553870068942773,0.0861405434141132,0.32097479523487993,0.5182736863888685,1.9793907440232688,0.10251111383119171,1.5676031924075708,0.06707541507359223,5,31.6,18.994736112934024,49,0.4,0.6,2,4,1.0,0.6,0.2,0.0,0.0,5,16.0,0.0,0.0,8,0,1,0,64
9,1.52,0.29,0.48,0.67,1.24,3.22,19.95,33.46,13.77,25.4,10,0.19206965236439383,0.05571617728366218,2.4588105147370194,0.08820139266739206,0.03424684959664725,0.01919705389610232,3.2213818961776415,0.08780721529610719,0.09825621236930934,0.041832877335856486,2.015662672129465,0.06467112078421676,1.6538814492441773,0.058850122805941124,5,36.6,24.602845363900496,62,0.6,0.4,2,4,0.8,0.8,0.2,0.0,0.0,5,38.0,0.0,0.0,9,0,1,0,81
10,2.725,1.15,0.775,2.3875,2.9375,6.0625,24.25,28.25,9.9,21.5125,8,0.2118050745719195,0.052289920138073535,2.504082458887233,0.1018788609527213,0.09826995635021685,0.2395548613481547,3.116103812355912,0.053459643268081815,0.14748070886443637,0.29084000959779666,2.0047612662011245,0.1334224038662657,1.6087021472996785,0.08792685225944553,5,41.4,10.526157893552615,25,0.4,0.6,2,2,1.0,0.4,0.6,0.0,0.0,5,22.333333333333332,4.9216076867444665,12.0,10,0,1,0,100
11,0.25,0.42000000000000004,0.26,0.45,0.93,5.17,21.119999999999997,25.860000000000003,19.03,26.47,10,0.20138684256281364,0.05001537025194975,2.5832375636952203,0.08148559510351684,0.01810664691893174,0.008050968863774006,3.0536609107212414,0.07982332285564143,0.04056326933908583,0.01775387773068782,2.03644573150808,0.08793379691575598,1.6373045863842743,0.06149761624311802,5,39.6,9.235799911215056,22,0.4,0.6,2,2,0.8,0.6,0.2,0.0,0.0,5,18.666666666666668,6.599663291074443,16.0,11,0,1,0,121
12,0.13999999999999999,0.16999999999999998,0.43,0.38,1.1,4.13,21.29,30.090000000000003,16.93,25.34,10,0.18212594827199613,0.04382104346394615,2.4986644015090045,0.10635466776322164,0.22068631010537657,0.4011964067922302,3.0618285887257155,0.06914793660465844,0.285823853430589,0.41700699739538183,2.0004519777239156,0.08298591161152484,1.5984776755676235,0.0795048532778212,5,36.2,21.58008341040414,55,0.6,0.4,2,2,0.8,0.6,0.0,0.0,0.2,5,22.75,0.0,0.0,12,0,1,0,144
13,1.08,0.47000000000000003,0.39,0.39,1.47,4.35,19.52,29.15,18.29,24.860000000000003,10,0.19276164629432868,0.06982515796439324,2.535684185521527,0.10912341047758481,0.17083589733386498,0.3021549042629549,3.079902169235292,0.08965251437066707,0.2736050752051521,0.41193680817506617,1.9548374401590352,0.08224632703176966,1.6017049683634847,0.055990590696366124,5,43.2,9.85900603509299,24,0.6,0.4,2,3,1.0,0.6,0.0,0.2,0.0,5,17.0,4.0,8.0,13,0,0,1,169
14,0.08571428571428572,0.0,0.5714285714285714,0.39999999999999997,0.5857142857142856,4.214285714285714,22.885714285714283,29.900000000000002,17.085714285714285,24.228571428571428,7,0.2116039624601872,0.04805882381864186,2.49267391385979,0.0847081624442444,0.1374226033511343,0.33825520576044626,3.0597519726187192,0.07070119377113804,0.17512277405197726,0.34984160573008827,1.8975928480547515,0.1004388436052173,1.585713228354672,0.09671273882966054,5,33.6,19.907285098676816,50,0.4,0.6,2,4,1.0,0.8,0.0,0.0,0.0,5,20.0,0.0,0.0,14,0,0,1,196
