series,episode,series_code,episode_code,episode_title,imdb_rating,episode_id,imdb_rating_relative,series_geom,episode_geom,num_tasks,mean_mu,mean_var,std_mu,std_var,total_variance_explained
1,1,S1,E1,Melon Buffet,8.0,1_1,-0.7925939239012206,1,1,5,3.400000000000001,1.86,0.66332495807108,1.078424777163433,0.6329922121727836
1,2,S1,E2,The Pie Whisperer,8.3,1_2,1.2455047375590576,1,2,5,2.96,1.9800000000000004,0.26076809620810604,0.9884331034521255,0.6670185687180783
1,3,S1,E3,The Poet and the Egg,8.2,1_3,0.5661385170722901,1,3,5,3.2800000000000002,1.86,0.5403702434442518,1.2320714265009152,0.6015384974805819
1,4,S1,E4,Down an Octave,8.2,1_4,0.5661385170722901,1,4,5,2.64,2.46,0.5727128425310541,1.3704014010500722,0.6422303415317286
1,5,S1,E5,Little Denim Shorts,8.1,1_5,-0.1132277034144652,1,5,5,2.84,2.1399999999999997,0.4774934554525329,0.7765307463326871,0.733748479316011
1,6,S1,E6,The Last Supper,7.9,1_6,-1.471960144387976,1,6,5,3.7600000000000002,1.2200000000000002,0.5549774770204641,0.7854934754662193,0.6083290795630164
2,1,S2,E1,Fear of Failure,8.3,2_1,1.4142135623731016,2,1,5,2.7199999999999998,2.48,0.2683281572999748,0.6260990336999411,0.7984291463642932
2,2,S2,E2,Pork Is a Sausage,8.0,2_2,-0.7071067811865445,2,2,5,3.28,1.9799999999999998,0.6870225614927068,1.1777096416349828,0.6270367528075842
2,3,S2,E3,A Pistachio Éclair,8.0,2_3,-0.7071067811865445,2,3,5,2.68,1.44,1.0639548862616308,1.3992855319769444,0.5071698438858149
2,4,S2,E4,Welcome to Rico Face,8.0,2_4,-0.7071067811865445,2,4,5,2.8400000000000003,2.3,0.260768096208106,0.37416573867739417,0.8600813205906784
2,5,S2,E5,There's Strength in Arches,8.2,2_5,0.7071067811865445,2,5,5,3.3199999999999994,1.2400000000000002,0.9654014708917736,0.9762171889492623,0.5595119495431313
3,1,S3,E1,Pea in a Haystack,8.1,3_1,0.0,3,1,5,3.28,2.3000000000000003,0.22803508501982758,0.7176350047203661,0.7621862804488289
3,2,S3,E2,The Dong and the Gong,8.2,3_2,1.4142135623730951,3,2,5,3.04,2.2,0.7402702209328699,0.9848857801796104,0.6907626055826503
3,3,S3,E3,Little Polythene Grief Cave,8.1,3_3,0.0,3,3,5,3.3600000000000003,2.1599999999999997,0.3577708763999663,1.0945318634009702,0.6636899224402769
3,4,S3,E4,A Very Nuanced Character,8.0,3_4,-1.4142135623730951,3,4,5,3.3599999999999994,2.3600000000000003,0.9633275663033836,1.4808781178746615,0.6144428246803881
3,5,S3,E5,The F.I.P.,8.1,3_5,0.0,3,5,5,3.0,1.64,0.7483314773547881,1.0064790112068907,0.6196912928669327
4,1,S4,E1,A Fat Bald White Man,8.2,4_1,0.2121320343559523,4,1,5,3.2399999999999998,2.3200000000000003,0.32863353450309973,0.7155417527999328,0.7642787314192174
4,2,S4,E2,Look at Me,8.2,4_2,0.2121320343559523,4,2,5,2.6399999999999997,2.0200000000000005,0.6841052550594828,0.7259476565152613,0.7356294630042135
4,3,S4,E3,Hollowing Out a Baguette,8.3,4_3,0.7778174593051987,4,3,5,2.6799999999999997,2.04,0.5761944116355172,0.8820430828479978,0.6981416571078392
4,4,S4,E4,Friendship Is Truth,7.9,4_4,-1.4849242404917566,4,4,5,3.04,2.5800000000000005,0.26076809620810604,1.4686728703152383,0.6372458537997703
4,5,S4,E5,Meat,8.2,4_5,0.2121320343559523,4,5,5,3.08,1.46,0.7293833011524187,0.5727128425310541,0.7182519682327906
4,6,S4,E6,Spatchcock It,7.9,4_6,-1.4849242404917566,4,6,5,2.84,2.5200000000000005,0.38470768123342686,0.4658325879540847,0.8439856977134553
4,7,S4,E7,No Stars for Naughty Boys,8.2,4_7,0.2121320343559523,4,7,5,3.3600000000000003,2.0199999999999996,0.6066300355241241,0.6534523701081815,0.7555773286203189
4,8,S4,E8,Tony Three Pies,8.4,4_8,1.343502884254435,4,8,5,2.56,1.7,0.8988882021697693,1.0931605554537724,0.6086295314032962
5,1,S5,E1,Dignity Intact,7.9,5_1,-0.6585953658489165,5,1,5,3.04,2.44,0.7797435475847172,1.277888884058391,0.6562864238525958
5,2,S5,E2,The Leprechaun or the Lesbian,7.9,5_2,-0.6585953658489165,5,2,5,2.56,1.6599999999999997,0.3847076812334269,1.192895636675732,0.5818649580656496
5,3,S5,E3,Phoenix,8.0,5_3,-0.3486681348611927,5,3,5,2.96,2.4799999999999995,0.8173126696681019,1.2949903474543736,0.6569553221963501
5,4,S5,E4,Residue Around the Hoof,7.8,5_4,-0.968522596836643,5,4,5,2.68,1.9,0.41472882706655445,0.7516648189186453,0.716530983269154
5,5,S5,E5,A Wind-Dried Puffin,8.3,5_5,0.5811135581019842,5,5,5,3.16,2.3200000000000003,0.589915248150105,0.8584870412533903,0.7299070186188777
