mean,variance,skew,histogram,histogram_tuple,frequency,sorted_set,is_used,log_frequency,sqrt_frequency
0.0,0.0,0.0,"[5, 0, 0, 0, 0, 0]","(5, 0, 0, 0, 0, 0)",12,"{0, 0, 0, 0, 0}",True,2.5649493574615367,3.4641016151377544
0.2,0.16000000000000003,1.5,"[4, 1, 0, 0, 0, 0]","(4, 1, 0, 0, 0, 0)",1,"{0, 0, 0, 0, 1}",True,0.6931471805599453,1.0
0.4,0.6400000000000001,1.5,"[4, 0, 1, 0, 0, 0]","(4, 0, 1, 0, 0, 0)",1,"{0, 0, 0, 0, 2}",True,0.6931471805599453,1.0
0.6,1.44,1.4999999999999998,"[4, 0, 0, 1, 0, 0]","(4, 0, 0, 1, 0, 0)",0,"{0, 0, 0, 0, 3}",False,0.0,0.0
0.8,2.5600000000000005,1.5,"[4, 0, 0, 0, 1, 0]","(4, 0, 0, 0, 1, 0)",1,"{0, 0, 0, 0, 4}",True,0.6931471805599453,1.0
1.0,4.0,1.5,"[4, 0, 0, 0, 0, 1]","(4, 0, 0, 0, 0, 1)",22,"{0, 0, 0, 0, 5}",True,3.1354942159291497,4.69041575982343
0.4,0.24000000000000005,0.4082482904638628,"[3, 2, 0, 0, 0, 0]","(3, 2, 0, 0, 0, 0)",0,"{0, 0, 0, 1, 1}",False,0.0,0.0
0.6,0.64,0.8437499999999997,"[3, 1, 1, 0, 0, 0]","(3, 1, 1, 0, 0, 0)",0,"{0, 0, 0, 1, 2}",False,0.0,0.0
0.8,1.36,1.15004933566153,"[3, 1, 0, 1, 0, 0]","(3, 1, 0, 1, 0, 0)",0,"{0, 0, 0, 1, 3}",False,0.0,0.0
1.0,2.4,1.2909944487358056,"[3, 1, 0, 0, 1, 0]","(3, 1, 0, 0, 1, 0)",0,"{0, 0, 0, 1, 4}",False,0.0,0.0
1.2,3.7600000000000002,1.3627927530355544,"[3, 1, 0, 0, 0, 1]","(3, 1, 0, 0, 0, 1)",3,"{0, 0, 0, 1, 5}",True,1.3862943611198906,1.7320508075688772
0.8,0.9600000000000002,0.4082482904638628,"[3, 0, 2, 0, 0, 0]","(3, 0, 2, 0, 0, 0)",2,"{0, 0, 0, 2, 2}",True,1.0986122886681098,1.4142135623730951
1.0,1.6,0.592927061281571,"[3, 0, 1, 1, 0, 0]","(3, 0, 1, 1, 0, 0)",0,"{0, 0, 0, 2, 3}",False,0.0,0.0
1.2,2.56,0.8437499999999997,"[3, 0, 1, 0, 1, 0]","(3, 0, 1, 0, 1, 0)",0,"{0, 0, 0, 2, 4}",False,0.0,0.0
1.4,3.84,1.0269996056981556,"[3, 0, 1, 0, 0, 1]","(3, 0, 1, 0, 0, 1)",0,"{0, 0, 0, 2, 5}",False,0.0,0.0
1.2,2.16,0.4082482904638631,"[3, 0, 0, 2, 0, 0]","(3, 0, 0, 2, 0, 0)",1,"{0, 0, 0, 3, 3}",True,0.6931471805599453,1.0
1.4,3.04,0.5071295169770316,"[3, 0, 0, 1, 1, 0]","(3, 0, 0, 1, 1, 0)",0,"{0, 0, 0, 3, 4}",False,0.0,0.0
1.6,4.24,0.681732718484721,"[3, 0, 0, 1, 0, 1]","(3, 0, 0, 1, 0, 1)",0,"{0, 0, 0, 3, 5}",False,0.0,0.0
1.6,3.8400000000000007,0.4082482904638628,"[3, 0, 0, 0, 2, 0]","(3, 0, 0, 0, 2, 0)",0,"{0, 0, 0, 4, 4}",False,0.0,0.0
1.8,4.960000000000001,0.46929127303770224,"[3, 0, 0, 0, 1, 1]","(3, 0, 0, 0, 1, 1)",21,"{0, 0, 0, 4, 5}",True,3.091042453358316,4.58257569495584
2.0,6.0,0.408248290463863,"[3, 0, 0, 0, 0, 2]","(3, 0, 0, 0, 0, 2)",11,"{0, 0, 0, 5, 5}",True,2.4849066497880004,3.3166247903554
0.6,0.24000000000000005,-0.4082482904638629,"[2, 3, 0, 0, 0, 0]","(2, 3, 0, 0, 0, 0)",0,"{0, 0, 1, 1, 1}",False,0.0,0.0
0.8,0.56,0.34362159674454545,"[2, 2, 1, 0, 0, 0]","(2, 2, 1, 0, 0, 0)",0,"{0, 0, 1, 1, 2}",False,0.0,0.0
1.0,1.2,0.9128709291752769,"[2, 2, 0, 1, 0, 0]","(2, 2, 0, 1, 0, 0)",0,"{0, 0, 1, 1, 3}",False,0.0,0.0
1.2,2.1599999999999997,1.1642636431747202,"[2, 2, 0, 0, 1, 0]","(2, 2, 0, 0, 1, 0)",0,"{0, 0, 1, 1, 4}",False,0.0,0.0
1.4,3.44,1.2864700617061375,"[2, 2, 0, 0, 0, 1]","(2, 2, 0, 0, 0, 1)",0,"{0, 0, 1, 1, 5}",False,0.0,0.0
1.0,0.8,0.0,"[2, 1, 2, 0, 0, 0]","(2, 1, 2, 0, 0, 0)",0,"{0, 0, 1, 2, 2}",False,0.0,0.0
1.2,1.36,0.36317347441943054,"[2, 1, 1, 1, 0, 0]","(2, 1, 1, 1, 0, 0)",0,"{0, 0, 1, 2, 3}",False,0.0,0.0
1.4,2.2399999999999998,0.73019589308216,"[2, 1, 1, 0, 1, 0]","(2, 1, 1, 0, 1, 0)",0,"{0, 0, 1, 2, 4}",False,0.0,0.0
1.6,3.44,0.9704949588309455,"[2, 1, 1, 0, 0, 1]","(2, 1, 1, 0, 0, 1)",0,"{0, 0, 1, 2, 5}",False,0.0,0.0
